Unnamed: 0,date,C,K,expiration_date,option_id,S,TTM,r,IV,delta,vega,initial_moneyness,delta_start
62862,2022-08-22,4.75,180.0,2022-11-18,AAPL_2022-11-18_K180,167.57,0.2410958904109589,0.0265805853452466,0.2751397598100011,0.3391904007150067,30.1204770350068,OTM,0.3391904007150067
62863,2022-08-23,4.49,180.0,2022-11-18,AAPL_2022-11-18_K180,167.23,0.23835616438356164,0.0271938720750327,0.27167138396363927,0.3301059659249663,29.571286268902185,OTM,0.3391904007150067
62864,2022-08-24,4.54,180.0,2022-11-18,AAPL_2022-11-18_K180,167.53,0.2356164383561644,0.0273417833635612,0.2716298566871767,0.33369575887397934,29.580478165255848,OTM,0.3391904007150067
62865,2022-08-25,5.0,180.0,2022-11-18,AAPL_2022-11-18_K180,170.03,0.2328767123287671,0.0274147578473357,0.25958961553535587,0.36644992189543535,30.882215971713624,OTM,0.3391904007150067
62866,2022-08-26,3.57,180.0,2022-11-18,AAPL_2022-11-18_K180,163.62,0.23013698630136986,0.027808728065365,0.28298988192125485,0.2783407013448014,26.346263063659894,OTM,0.3391904007150067
62867,2022-08-29,2.79,180.0,2022-11-18,AAPL_2022-11-18_K180,161.38,0.2219178082191781,0.0283561375826663,0.28017264176537165,0.2377174007942745,23.510352364924337,OTM,0.3391904007150067
62868,2022-08-30,2.06,180.0,2022-11-18,AAPL_2022-11-18_K180,158.91,0.2191780821917808,0.0287924892812789,0.2729253134107186,0.1943353370269324,20.469085545715163,OTM,0.3391904007150067
62869,2022-08-31,1.73,180.0,2022-11-18,AAPL_2022-11-18_K180,157.22,0.21643835616438356,0.0285903722995575,0.27370904493126813,0.17096701176458418,18.576539596424922,OTM,0.3391904007150067
62870,2022-09-01,1.77,180.0,2022-11-18,AAPL_2022-11-18_K180,157.96,0.2136986301369863,0.0286622839842656,0.2708160900774814,0.17572019734289024,18.872093965296806,OTM,0.3391904007150067
62871,2022-09-02,1.43,180.0,2022-11-18,AAPL_2022-11-18_K180,155.81,0.21095890410958903,0.0282793433062324,0.2732901753877925,0.14929593057252422,16.63346330819161,OTM,0.3391904007150067
62872,2022-09-06,1.36,180.0,2022-11-18,AAPL_2022-11-18_K180,154.53,0.2,0.0287011530121659,0.28829846435713263,0.1413333464854848,15.481083192033347,OTM,0.3391904007150067
62873,2022-09-07,1.32,180.0,2022-11-18,AAPL_2022-11-18_K180,155.96,0.19726027397260273,0.0294141315830746,0.27452275924983527,0.14293700945907728,15.635902812048535,OTM,0.3391904007150067
62874,2022-09-08,0.99,180.0,2022-11-18,AAPL_2022-11-18_K180,154.46,0.19452054794520549,0.0296364691283063,0.26713075265339026,0.11683214375007883,13.372225883265223,OTM,0.3391904007150067
62875,2022-09-09,1.16,180.0,2022-11-18,AAPL_2022-11-18_K180,157.37,0.1917808219178082,0.0296791833449632,0.2551528941314364,0.1366235851535847,15.086098740527582,OTM,0.3391904007150067
62876,2022-09-12,2.38,180.0,2022-11-18,AAPL_2022-11-18_K180,163.43,0.18356164383561643,0.0301760874100023,0.2675959488837907,0.23065572612971874,21.295344215380766,OTM,0.3391904007150067
