Unnamed: 0,date,C,K,expiration_date,option_id,S,TTM,r,IV,delta,initial_moneyness,delta_start
60405,2022-09-19,6.0,155.0,2022-10-21,AAPL_2022-10-21_K155,154.48,0.08767123287671233,0.0306756540584586,0.3316626236628929,0.5168573428600202,ATM,0.5247452747801251
60406,2022-09-20,7.5,155.0,2022-10-21,AAPL_2022-10-21_K155,156.9,0.08493150684931507,0.0324129776322122,0.34633825900169135,0.5786533781120763,ATM,0.5247452747801251
60407,2022-09-21,5.95,155.0,2022-10-21,AAPL_2022-10-21_K155,153.72,0.0821917808219178,0.0320111326256839,0.3618406768541006,0.4989206259276343,ATM,0.5247452747801251
60408,2022-09-22,5.2,155.0,2022-10-21,AAPL_2022-10-21_K155,152.74,0.07945205479452055,0.0316091260748283,0.3525497148678172,0.47096442613104106,ATM,0.5247452747801251
60409,2022-09-23,4.15,155.0,2022-10-21,AAPL_2022-10-21_K155,150.43,0.07671232876712329,0.0312767432112891,0.35723988296726966,0.4095342881577923,ATM,0.5247452747801251
60410,2022-09-26,4.15,155.0,2022-10-21,AAPL_2022-10-21_K155,150.77,0.0684931506849315,0.0315732766791047,0.3698240912322388,0.41482775935158656,ATM,0.5247452747801251
60411,2022-09-27,4.55,155.0,2022-10-21,AAPL_2022-10-21_K155,151.76,0.06575342465753424,0.0324381480894541,0.3760023583912354,0.4408675378344023,ATM,0.5247452747801251
60412,2022-09-28,3.33,155.0,2022-10-21,AAPL_2022-10-21_K155,149.84,0.06301369863013699,0.0323597303464799,0.35497694446068656,0.3773238540434179,ATM,0.5247452747801251
60413,2022-09-29,1.32,155.0,2022-10-21,AAPL_2022-10-21_K155,142.48,0.06027397260273973,0.0321573647990562,0.36800662931877165,0.19336018998734011,ATM,0.5247452747801251
60414,2022-09-30,0.55,155.0,2022-10-21,AAPL_2022-10-21_K155,138.2,0.057534246575342465,0.0318997494057897,0.3573579902356451,0.1013094148778389,ATM,0.5247452747801251
60415,2022-10-03,0.65,155.0,2022-10-21,AAPL_2022-10-21_K155,142.45,0.049315068493150684,0.0316478807326586,0.3224164679368267,0.131002385789235,ATM,0.5247452747801251
60416,2022-10-04,0.96,155.0,2022-10-21,AAPL_2022-10-21_K155,146.1,0.04657534246575343,0.0332858288239319,0.2957748827763774,0.19209764783453576,ATM,0.5247452747801251
60417,2022-10-05,1.07,155.0,2022-10-21,AAPL_2022-10-21_K155,146.4,0.043835616438356165,0.0330081860767742,0.3111154205144881,0.2056670185149741,ATM,0.5247452747801251
60418,2022-10-06,0.95,155.0,2022-10-21,AAPL_2022-10-21_K155,145.43,0.0410958904109589,0.0330807482420224,0.3300796226143114,0.18442107811944491,ATM,0.5247452747801251
60419,2022-10-07,0.31,155.0,2022-10-21,AAPL_2022-10-21_K155,140.09,0.038356164383561646,0.0330188288571718,0.34593228408215193,0.07489469860013871,ATM,0.5247452747801251
60420,2022-10-10,0.26,155.0,2022-10-21,AAPL_2022-10-21_K155,140.42,0.030136986301369864,0.0330188288571718,0.36888506854438363,0.06744884092126852,ATM,0.5247452747801251
60421,2022-10-11,0.15,155.0,2022-10-21,AAPL_2022-10-21_K155,138.98,0.0273972602739726,0.0336629898887475,0.37505023687492045,0.04349720835013545,ATM,0.5247452747801251
60422,2022-10-12,0.15,155.0,2022-10-21,AAPL_2022-10-21_K155,138.34,0.024657534246575342,0.0355003395995465,0.40930531923019686,0.04240328824120568,ATM,0.5247452747801251
